Halal Beef Powder                                 150 g, $1.86/100g   
Tea, Earl Grey Tea                                200 g, $3.00/100g   
Coarse Durum Semolina                             907 g, $0.42/100g   
Red Thai Hot Peppers                              75 g, $7.99/100g    
Green Thai Hot Peppers                            75 g, $6.65/100g    
Instant Noodles Mi Goreng Hot & Spicy 5 Packs X 80 G ()5x425.0 g, $1.00/100g
Red Pummelos                                      1 ea, $3.99/1ea     
M.Y Sans Crackers                                 800 g, $0.81/100g   
Instant Pancit Canton Chow Mein                   360 g, $0.83/100g   
Sardines, In Tomato Sauce Chili Added             155 g, $0.83/100g   
Sardines In Tomato Sauce                          155 g, $0.83/100g   
Crackers, Snack Pack                              250 g, $1.20/100g   
Supreme Instant Noodles, Artificial Bone Marrow Flavour65 g, $3.06/100g    
Sardines in Tomato Sauce, Hot                     155 g, $0.90/100g   
White Vinegar                                     1 l, $0.28/100ml    
Lucky Me Original Chow Mein                       360 g, $0.83/100g   
Instant Noodle Soup Bulalo                        65 g, $3.06/100g    
Tocino Flavoured                                  340 g, $1.47/100g   
Brown Coffee Instant Coffee Mix                   825 g, $1.03/100g   
Tuna Flakes in Oil                                180 g, $1.83/100g   
Corned Beef & Garlic                              326 g, $1.84/100g   
Pancit Canton Chow Mein Noodles Philippine Lemon Flavour60 g, $1.65/100g    
Evaporada (Evaporated Liquid Creamer)             405 ml, $0.49/100ml 
Corned Beef with Juices                           326 g, $1.84/100g   
Tuna Flakes in Calamansi                          180 g, $1.83/100g   
White King Puto Mix                               400 g, $0.82/100g   
Instant Cup Noodles Mi Goreng Fried Noodles       75 g, $2.65/100g    
Fiesta Tropical Mixed Fruit in Heavy Syrup        796 ml, $0.48/100ml 
White Coffee 3 in 1                               300 g, $1.16/100g   
Pineapple Slices In Extra Light Syrup             540 ml, $0.65/100ml 
Coffee Blanca Instant Coffee Mix                  900 g, $0.94/100g   
Purefoods Corned Beef                             340 g, $2.06/100g   
Mackerel in Tomato Sauce Chili                    425 g, $1.64/100g   
Pineapple Eidbits In Extra Light Syrup            540 ml, $0.65/100ml 
Corned Beef Hash                                  425 g, $1.41/100g   
San Marino Corned Tuna                            180 g, $1.38/100g   
Cheezee Spread Cheddar                            235 g, $2.46/100g   
Kremdensada (Sweetened Thick Creamer)             405 ml, $0.74/100ml 
Turtle Chips Snack Chip Chocolate Flavor Choco Churros160 g, $2.49/100g   
Chunky Corned Beef                                326 g, $1.99/100g   
Sardines in Tomato Sauce                          155 g, $0.64/100g   
Palm Liver Spread                                 227 g, $1.54/100g   
Turtle Chips Corn Chip Sweet Corn Flavor          160 g, $2.49/100g   
Hot Spicy Tuna                                    180 g, $1.83/100g   
San Marino Light Corned Tuna                      180 g, $1.38/100g   
